Date,Open,High,Low,Close,Volume,Turnover
2021-02-11,35687.25,36009.45,35573.3,35752.1,397926100,75132900000.0
2021-02-12,35736.6,36322.8,35700.25,36108.9,400613273,91377800000.0
2021-02-15,36501.4,37449.9,36405.1,37306.25,395960815,100124500000.0
2021-02-16,37492.6,37708.75,36762.75,37098.4,498415137,131437000000.0
2021-02-17,37041.95,37331.45,36764.25,36910.95,850487354,133951500000.0
2021-02-18,37088.75,37108.75,36367.45,36587.0,860331083,139356800000.0
2021-02-19,36371.55,36656.2,35584.6,35841.6,1057099488,149978200000.0
2021-02-22,35874.3,36128.9,35097.55,35257.2,558736003,120536700000.0
2021-02-23,35540.55,35680.85,34976.0,35116.95,495062997,102187900000.00002
2021-02-24,35205.4,36567.65,35060.65,36452.3,272875395,75738000000.0
2021-02-25,36763.15,37232.2,36494.0,36549.0,455940302,130876500000.0
2021-02-26,35806.65,35902.9,34658.7,34803.6,583014812,163324600000.0
2021-03-01,35374.25,35581.1,34983.75,35296.0,321453194,76692600000.0
2021-03-02,35458.15,35747.05,35002.45,35419.7,313565974,78695200000.0
2021-03-03,35754.45,36455.15,35570.55,36368.05,526962435,95326200000.00002
2021-03-04,35575.65,36316.4,35519.25,35802.5,518584470,104197000000.0
2021-03-05,35458.5,35616.05,34893.25,35228.15,479018691,119749700000.0
2021-03-08,35462.45,35827.3,35090.75,35275.75,300221829,84406299999.99998
2021-03-09,35705.9,36077.8,35544.95,35865.65,276564848,92624100000.0
2021-03-10,36112.25,36176.9,35764.35,35938.3,210555025,64461500000.0
2021-03-12,36497.35,36497.35,35188.05,35496.65,273642948,79528100000.0
