Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-05-05,LT,2020-06-25,868.0,874.0,840.0,841.75,842.5,841.75,271,87199000.0,94125,33000,836.9
2020-05-04,LT,2020-06-25,865.0,867.5,846.65,856.6,858.4,856.6,191,61277000.0,61125,9000,850.65
2020-04-30,LT,2020-05-28,890.0,920.4,888.0,896.2,896.05,896.2,16447,5582476000.0,11205000,972000,
2020-04-29,LT,2020-05-28,865.0,886.95,855.6,879.6,874.2,879.6,12347,4036407000.0,10233000,2165625,875.35
2020-04-28,LT,2020-05-28,869.1,872.0,855.75,861.85,862.5,861.85,15528,5029967000.0,8067375,3174750,857.15
2020-04-27,LT,2020-05-28,861.0,879.7,857.35,859.7,861.0,859.7,7617,2478123000.0,4892625,2062125,855.25
2020-04-24,LT,2020-05-28,849.7,872.0,841.15,854.3,854.0,854.3,6053,1946173000.0,2830500,1140750,851.2
2020-04-23,LT,2020-05-28,863.35,873.85,839.1,845.25,848.8,845.25,2303,739747000.0,1689750,364875,840.6
2020-04-22,LT,2020-05-28,871.45,889.0,855.75,858.5,861.0,858.5,2299,747644000.0,1324875,445125,852.6
2020-04-21,LT,2020-05-28,893.2,912.95,867.8,873.9,878.0,873.9,1375,457029000.0,879750,140250,870.35
2020-04-20,LT,2020-05-28,938.95,946.0,916.4,920.45,922.15,920.45,1296,453918999.99999994,739500,265875,915.6
2020-04-17,LT,2020-05-28,936.0,947.2,921.75,942.5,943.95,942.5,1353,472878000.0,473625,144000,932.9
2020-04-16,LT,2020-05-28,886.2,926.0,886.2,920.8,918.05,920.8,417,142761000.0,329625,36000,911.65
2020-04-15,LT,2020-05-28,887.2,930.6,877.0,885.95,881.3,885.95,1044,357144000.0,293625,52125,880.15
2020-04-13,LT,2020-05-28,813.15,875.0,813.15,869.25,868.4,869.25,317,101241000.0,241500,10875,865.45
2020-04-09,LT,2020-05-28,815.0,833.3,811.0,818.15,811.0,818.15,326,100584000.0,230625,55875,812.8
2020-04-08,LT,2020-05-28,806.3,835.0,801.15,810.95,812.3,810.95,221,67948000.0,174750,10875,807.1
2020-04-07,LT,2020-05-28,814.75,823.65,797.1,810.9,811.25,810.9,235,71514000.0,163875,5250,801.65
2020-04-03,LT,2020-05-28,780.3,792.85,768.3,786.3,784.1,786.3,160,46877000.0,158625,18375,774.65
2020-04-01,LT,2020-05-28,809.4,809.4,770.0,778.75,780.1,778.75,264,77568000.0,140250,-6750,774.35
2020-03-31,LT,2020-04-30,822.7,823.45,795.05,805.75,806.5,805.75,12364,3752717000.0,11332875,438375,808.5
2020-03-30,LT,2020-04-30,814.7,821.8,789.65,795.95,796.55,795.95,8628,2606059000.0,10894500,40500,798.65
2020-03-27,LT,2020-04-30,864.8,891.95,813.0,837.9,839.5,837.9,15023,4764948000.0,10854000,-690375,837.05
2020-03-26,LT,2020-04-30,779.0,845.85,756.1,840.25,844.1,840.25,15213,4618959000.0,11544375,354750,838.0
2020-03-25,LT,2020-04-30,698.9,778.0,664.35,769.9,771.75,769.9,20232,5377396000.0,11189625,3246000,765.75
2020-03-24,LT,2020-04-30,744.4,744.4,675.05,713.75,718.95,713.75,15053,4018982000.0,7943625,3278625,707.9
2020-03-23,LT,2020-04-30,798.65,828.2,696.8,714.5,709.8,714.5,6844,1866275999.9999998,4665000,1287750,724.05
2020-03-20,LT,2020-04-30,837.5,871.55,823.3,854.95,842.0,854.95,3759,1191865000.0,3377250,513750,864.7
2020-03-19,LT,2020-04-30,855.0,872.3,825.95,831.1,828.0,831.1,6344,2020071000.0,2863500,1164750,843.1
2020-03-18,LT,2020-04-30,954.85,960.05,888.8,894.9,898.0,894.9,1667,575576000.0,1698750,111375,904.55
2020-03-17,LT,2020-04-30,960.75,985.0,926.85,942.6,941.15,942.6,1046,374799000.0,1587375,53625,956.75
2020-03-16,LT,2020-04-30,1010.0,1026.0,942.25,949.2,944.15,949.2,1738,637924000.0,1533750,123000,968.7
2020-03-13,LT,2020-04-30,950.8,1066.0,865.0,1061.05,1062.0,1061.05,2272,870606000.0,1410750,475125,1051.45
2020-03-12,LT,2020-04-30,1073.0,1073.95,1007.8,1016.95,1018.2,1016.95,1701,659001000.0,935625,37500,1016.55
2020-03-11,LT,2020-04-30,1090.3,1125.4,1090.3,1123.55,1124.95,1123.55,885,370058000.0,898125,156000,1116.95
2020-03-09,LT,2020-04-30,1128.2,1133.0,1075.1,1110.95,1110.5,1110.95,1422,589105000.0,742125,274875,1101.95
2020-03-06,LT,2020-04-30,1133.2,1170.2,1133.2,1163.7,1160.0,1163.7,383,165691000.0,467250,31125,1158.9
2020-03-05,LT,2020-04-30,1190.0,1195.5,1177.0,1188.35,1186.55,1188.35,508,226455000.00000003,436125,76875,1182.45
2020-03-04,LT,2020-04-30,1190.0,1191.6,1165.45,1186.6,1185.0,1186.6,284,125897000.0,359250,-6750,1176.65
