Stock_X,Stock_Y,Intercept,Slope,P-Value from ADF test,std_error_of_residuals,latest_residual,std_err_zscore
TITAN,MCDOWELL-N,457.619160361932,0.11803608252434067,0.011761423104842378,43.8,-6.333881552786806,-0.14
ASIANPAINT,MCDOWELL-N,450.1688805686514,0.08534522345503985,0.01663307282187321,43.95,-32.133362615964984,-0.73
HAVELLS,MCDOWELL-N,533.5715200384063,0.0760791923485155,0.025882410919939657,46.8,2.9448562528051525,0.06
MARICO,MCDOWELL-N,418.03141123554485,0.4763877529740774,0.023322767559520806,44.71,-11.19334717374204,-0.25
GODREJCP,MCDOWELL-N,517.4266755005831,0.09606441086775556,0.02453338243028344,45.92,3.268908027696284,0.07
UBL,MCDOWELL-N,516.5016858802753,0.05409991138734099,0.029057935952619483,46.3,12.32760136993329,0.27
BRITANNIA,PGHH,11630.248502883913,-0.3395005302318719,0.01848763897563399,616.88,-208.9844162637255,-0.34
BRITANNIA,GODREJCP,460.0278304220186,0.06656802790540053,1.6534083986814879e-07,92.4,-41.626943090922396,-0.45
COLPAL,PGHH,6478.813101760629,3.0735247666439403,0.027817568724442986,557.05,-618.3772323490357,-1.11
NESTLEIND,HINDUNILVR,878.936659109165,0.07837676936963439,0.0001490488907642702,71.74,11.049383078009214,0.15
NESTLEIND,ITC,444.01084483248246,-0.01484652841370787,0.000999777843665271,19.15,-9.413179211268613,-0.49
NESTLEIND,HAVELLS,908.0029080784449,-0.019168261704296908,0.04500877790832196,57.46,39.88006568786568,0.69
NESTLEIND,GODREJCP,896.8435015250009,-0.015911552704172025,0.018374791632840358,103.76,30.30238645304894,0.29
NESTLEIND,UBL,1851.2702332142292,-0.04650719866910226,0.046581048160493445,113.49,-61.39620064334645,-0.54
ITC,HINDUNILVR,2936.3958777591424,-4.121206424054563,0.00018007318050194458,122.03,21.456038464727044,0.18
ASIANPAINT,HINDUNILVR,474.0785146999226,0.9244279801843273,0.0265202603556179,108.67,-132.25094269885403,-1.22
HAVELLS,HINDUNILVR,2913.2490354184056,-1.5234110736293718,0.029113422300477657,180.86,212.54149339917012,1.18
UBL,HINDUNILVR,2956.750960100084,-0.841862339315945,0.007357487715965114,163.44,71.61982824478036,0.44
ITC,HAVELLS,302.3696692786682,1.4219208415518738,0.03119259146474589,45.15,58.82371015586284,1.3
ITC,UBL,417.7548677389294,3.3048374248314976,0.038731031523963726,85.12,-22.965826164728924,-0.27
TITAN,PGHH,6354.575686879043,3.8701352688510506,0.0011014456378343985,393.26,-610.4460952830195,-1.55
UBL,HAVELLS,171.7331050596094,0.3905114521075884,0.0210259402629328,39.84,60.974947723785704,1.53
BANDHANBNK,BAJAJHLDNG,1461.646351542804,3.5606093461937762,0.004059276752254753,294.16,180.93062720787793,0.62
SBIN,BAJAJHLDNG,953.5652191857558,7.660708942500699,0.01893590459467775,268.43,106.07437509296187,0.4
BAJAJHLDNG,PFC,33.78682164421852,0.02268631823328939,0.030714339882871065,9.97,1.2964380830353974,0.13
BAJAJFINSV,ICICIBANK,93.79978332546239,0.043617998868148995,0.010419304145347419,24.8,30.396424183124964,1.23
ICICIBANK,KOTAKBANK,440.5730522505614,2.378343484139221,0.000614155371676286,66.19,52.11962229759979,0.79
BAJAJFINSV,HDFC,964.4867447435436,0.14690495448409024,0.006818975483999887,85.48,-42.810469566880556,-0.5
KOTAKBANK,HDFC,419.8084367822589,1.1328146841655073,0.013994931646970356,116.77,-198.51085992147455,-1.7
BANDHANBNK,SBIN,93.12143990078937,0.40532222441834864,0.026955542149657667,30.8,2.005182174118147,0.07
BANKBARODA,BANDHANBNK,118.74195835773928,3.5499921240780115,0.006924355563437431,57.55,18.128448039835348,0.32
INDUSINDBK,BANDHANBNK,167.09132960249087,0.22755357445367863,0.009442098544522945,53.06,1.4876335624179546,0.03
BANDHANBNK,PFC,71.37482314695033,0.07094990885457438,0.02775889657822708,12.81,4.117658524143138,0.32
PNB,BANDHANBNK,129.068154030429,5.196775438388845,0.016641257217023784,62.25,-1.5586840227356902,-0.03
BANDHANBNK,SRTRANSFIN,342.7624195250279,1.4869836098251068,0.005294383892536282,116.4,-45.921523849553296,-0.39
BANDHANBNK,AXISBANK,192.4416809596027,0.9784218917694283,0.0034817529792774064,68.43,3.6143925795917653,0.05
HDFCAMC,ICICIPRULI,206.6654588812076,0.08492561881056476,0.01172560283074937,30.24,32.21433706886728,1.07
HDFCAMC,BAJFINANCE,1443.0800486621363,0.7755638264970732,0.04024667572849227,516.16,287.8409303120593,0.56
HDFCAMC,SBILIFE,312.95315215225844,0.19621769086238672,0.010420491263248824,54.41,47.80734857819675,0.88
HDFCAMC,ICICIGI,566.0831894264182,0.2513517421869226,0.046855127913920526,88.74,89.1232654285418,1.0
BAJAJFINSV,KOTAKBANK,626.7287946809188,0.10897876330192063,0.006551578869512579,74.2,127.04526118819444,1.71
SBILIFE,ICICIPRULI,71.5774648877512,0.43232911081532166,3.909417604940001e-06,19.2,11.572680797461658,0.6
ICICIPRULI,KOTAKBANK,544.6961801220598,2.151727343169001,0.03252988601471134,106.01,-48.670730094230066,-0.46
HDFCLIFE,ICICIPRULI,74.8909798569093,0.6586267271122096,0.001991773496094533,25.47,-11.752641480490013,-0.46
ICICIGI,ICICIPRULI,67.74737262403997,0.2912918044474665,0.004245432854985916,32.94,9.563079645857783,0.29
PEL,PFC,88.20780771844744,0.00831285752699663,0.04970457854424865,14.6,-2.570198013244749,-0.18
HDFCBANK,PEL,509.69725767759354,0.7836005569739617,0.002981094166424248,298.59,128.1799215749263,0.43
PNB,PEL,275.05208332408876,24.988150729189723,0.01107859146119858,232.57,310.3369321594321,1.33
SBIN,PFC,42.50580440220841,0.22062014896858387,0.008882231750642464,8.82,6.087755102205506,0.69
AXISBANK,SBIN,20.698155000734648,0.4027389124483049,0.011440850675410081,17.64,-0.922809219411505,-0.05
INDUSINDBK,BANKBARODA,19.110147047124553,0.0596935911028542,0.0033832995462317484,8.59,-7.2451859647394485,-0.84
BANKBARODA,PFC,75.20500442728313,0.30101365014320425,0.025921578017727178,12.6,7.462691225327532,0.59
HDFCBANK,BANKBARODA,21.039165860514487,0.04328660360539584,0.028900310752571337,15.39,-17.68208557872814,-1.15
PNB,BANKBARODA,2.741552974303029,1.4665862774302938,0.0011182885025103485,6.47,-5.478574553095406,-0.85
BANKBARODA,SRTRANSFIN,423.01424932897197,6.308944185741244,0.008534789595671137,105.64,24.19423068677986,0.23
BANKBARODA,AXISBANK,269.22709843765665,3.8947406813700667,0.024523142206878717,72.99,39.00428240364789,0.53
MUTHOOTFIN,BANKBARODA,160.9704695029562,-0.09808679351896282,0.033475914064510566,19.14,9.162516125034422,0.48
INDUSINDBK,PFC,82.29884741896791,0.016892099017014075,0.00856626036065518,13.16,4.656926870356671,0.35
INDUSINDBK,PNB,13.376021150123464,0.0389248807787508,0.04471142975076682,6.65,-2.236368040498938,-0.34
INDUSINDBK,SRTRANSFIN,488.66911326000513,0.4206684251607886,0.0012203817728713784,82.49,4.062949531715958,0.05
INDUSINDBK,GICRE,82.31548376658068,0.11154728445230558,0.02401480561946078,32.49,-1.966933662257901,-0.06
HDFCBANK,PFC,84.13314788021069,0.011479518774152622,0.0444452838561568,13.85,1.2729284459962145,0.09
