symbol,entry_date,exit_date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,exit,target,stoploss,pnl,returns
ULTRACEMCO,2020-06-01,2020-06-25,2020-06-25,2020-07-30,3823.25,3818.7,-4.55,16.48,7.93,36.3,-3.34,Buy Spread,-4.55,-5.049999999999727,7.345,-8.515,-0.49999999999972733,-0.1099
BANKBARODA,2018-08-01,2018-08-02,2018-08-30,2018-09-27,151.15,151.25,0.1,0.69,0.22,1.24,0.14,Buy Spread,0.1,0.6999999999999886,0.4300000000000001,-0.009999999999999995,0.5999999999999885,6.0
BANKBARODA,2019-04-02,2019-04-03,2019-04-25,2019-05-30,134.25,135.45,1.2,0.64,0.2,1.14,0.14,Sell Spread,1.2,0.6999999999999886,0.8999999999999999,1.3,0.5000000000000113,0.4167
BANKBARODA,2020-03-17,2020-03-18,2020-03-26,2020-04-30,62.85,62.45,-0.4,0.58,0.21,1.1,0.05,Buy Spread,-0.4,-0.75,-0.08500000000000002,-0.505,-0.35,-0.875
BANKBARODA,2020-03-19,2020-03-23,2020-03-26,2020-04-30,61.65,61.25,-0.4,0.58,0.23,1.16,0.0,Buy Spread,-0.4,-0.05000000000000426,-0.054999999999999986,-0.515,0.34999999999999576,0.875
BANKBARODA,2020-03-24,2020-03-26,2020-03-26,2020-04-30,55.4,55.35,-0.05,0.58,0.23,1.16,0.0,Buy Spread,-0.05,0.6000000000000014,0.29500000000000004,-0.165,0.6500000000000015,13.0
RBLBANK,2018-08-02,2018-08-03,2018-08-30,2018-09-27,571.0,577.25,6.25,2.18,1.05,4.8,-0.44,Sell Spread,6.25,2.8999999999999773,4.675,6.775,3.3500000000000227,0.536
RBLBANK,2018-09-03,2018-09-04,2018-09-27,2018-10-25,629.1,634.1,5.0,2.29,1.08,4.99,-0.41,Sell Spread,5.0,2.5,3.38,5.54,2.5,0.5
RBLBANK,2018-10-17,2018-10-22,2018-10-25,2018-11-29,535.9,534.9,-1.0,2.25,1.1,5.0,-0.5,Buy Spread,-1.0,-2.5500000000000114,0.6500000000000001,-1.55,-1.5500000000000114,-1.55
RBLBANK,2018-10-23,2018-10-24,2018-10-25,2018-11-29,462.8,459.9,-2.9,2.18,1.22,5.23,-0.87,Buy Spread,-2.9,-3.75,-1.0699999999999998,-3.51,-0.8500000000000001,-0.2931
RBLBANK,2018-11-07,2018-11-19,2018-11-29,2018-12-27,538.3,536.65,-1.65,2.09,1.33,5.42,-1.24,Buy Spread,-1.65,-2.4500000000000455,0.3450000000000002,-2.315,-0.8000000000000456,-0.4848
RBLBANK,2018-11-20,2018-11-26,2018-11-29,2018-12-27,553.85,551.0,-2.85,1.95,1.48,5.65,-1.75,Buy Spread,-2.85,-3.7999999999999545,-0.6300000000000003,-3.59,-0.9499999999999544,-0.3333
RBLBANK,2018-11-27,2018-11-29,2018-11-29,2018-12-27,575.15,570.35,-4.8,1.85,1.64,5.95,-2.25,Buy Spread,-4.8,-3.9500000000000455,-2.34,-5.62,0.8499999999999543,0.1771
RBLBANK,2018-12-06,2018-12-14,2018-12-27,2019-01-31,546.75,542.65,-4.1,1.72,1.82,6.27,-2.83,Buy Spread,-4.1,-1.1999999999999318,-1.3699999999999997,-5.01,2.900000000000068,0.7073
