symbol,date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,target,stoploss
KOTAKBANK,2020-05-15,2020-05-28,2020-06-25,1180.2,1176.0,-4.2,4.61,3.44,13.21,-3.99,Buy Spread,-4.2,0.96,-5.92
RELIANCE,2020-05-15,2020-05-28,2020-06-25,1463.95,1462.95,-1.0,5.16,2.06,10.31,0.01,Buy Spread,-1.0,2.09,-2.0300000000000002
HINDUNILVR,2020-05-14,2020-05-28,2020-06-25,2012.8,2008.8,-4.0,6.37,4.1,16.62,-3.88,Buy Spread,-4.0,2.1499999999999995,-6.05
ITC,2020-05-14,2020-05-28,2020-06-25,164.15,161.55,-2.6,0.99,0.86,3.14,-1.16,Buy Spread,-2.6,-1.31,-3.0300000000000002
JUBLFOOD,2020-05-14,2020-05-28,2020-06-25,1664.45,1619.45,-45.0,-1.24,14.48,34.96,-37.44,Buy Spread,-45.0,-23.28,-52.24
RELIANCE,2020-05-14,2020-05-28,2020-06-25,1441.0,1440.5,-0.5,5.17,2.05,10.3,0.04,Buy Spread,-0.5,2.5749999999999997,-1.525
ITC,2020-05-13,2020-05-28,2020-06-25,165.85,163.25,-2.6,1.0,0.85,3.12,-1.12,Buy Spread,-2.6,-1.3250000000000002,-3.025
JUBLFOOD,2020-05-13,2020-05-28,2020-06-25,1662.8,1618.55,-44.25,-1.16,14.37,34.76,-37.08,Buy Spread,-44.25,-22.695,-51.435
RELIANCE,2020-05-13,2020-05-28,2020-06-25,1499.8,1497.75,-2.05,5.18,2.04,10.28,0.08,Buy Spread,-2.05,1.0100000000000002,-3.07
ITC,2020-05-12,2020-05-28,2020-06-25,165.3,162.7,-2.6,1.01,0.84,3.11,-1.09,Buy Spread,-2.6,-1.34,-3.02
RELIANCE,2020-05-12,2020-05-28,2020-06-25,1484.6,1482.2,-2.4,5.19,2.01,10.22,0.17,Buy Spread,-2.4,0.6149999999999998,-3.405
HINDUNILVR,2020-05-11,2020-05-28,2020-06-25,2028.55,2024.65,-3.9,6.42,4.07,16.6,-3.76,Buy Spread,-3.9,2.2050000000000005,-5.9350000000000005
ITC,2020-05-11,2020-05-28,2020-06-25,158.7,156.75,-1.95,1.01,0.82,3.06,-1.04,Buy Spread,-1.95,-0.72,-2.36
RELIANCE,2020-05-11,2020-05-28,2020-06-25,1572.65,1568.95,-3.7,5.21,1.99,10.18,0.24,Buy Spread,-3.7,-0.7150000000000003,-4.695
HINDUNILVR,2020-05-08,2020-05-28,2020-06-25,2065.65,2059.15,-6.5,6.43,4.05,16.56,-3.7,Buy Spread,-6.5,-0.4250000000000007,-8.525
ITC,2020-05-08,2020-05-28,2020-06-25,158.0,156.15,-1.85,1.02,0.82,3.07,-1.03,Buy Spread,-1.85,-0.6200000000000001,-2.2600000000000002
RELIANCE,2020-05-08,2020-05-28,2020-06-25,1556.7,1552.45,-4.25,5.22,1.95,10.09,0.34,Buy Spread,-4.25,-1.3250000000000002,-5.225
ULTRACEMCO,2020-05-08,2020-05-28,2020-06-25,3314.1,3310.15,-3.95,16.72,7.78,36.17,-2.73,Buy Spread,-3.95,7.72,-7.84
ITC,2020-05-07,2020-05-28,2020-06-25,160.85,158.8,-2.05,1.02,0.81,3.05,-1.01,Buy Spread,-2.05,-0.8349999999999997,-2.455
HINDUNILVR,2020-05-06,2020-05-28,2020-06-25,2010.8,2005.95,-4.85,6.47,4.01,16.49,-3.55,Buy Spread,-4.85,1.165,-6.8549999999999995
ITC,2020-05-06,2020-05-28,2020-06-25,164.0,161.65,-2.35,1.03,0.8,3.03,-0.97,Buy Spread,-2.35,-1.15,-2.75
JUBLFOOD,2020-05-06,2020-05-28,2020-06-25,1526.8,1490.0,-36.8,-0.84,14.04,34.26,-35.94,Buy Spread,-36.8,-15.739999999999998,-43.81999999999999
KOTAKBANK,2020-05-06,2020-05-28,2020-06-25,1246.5,1242.2,-4.3,4.71,3.34,13.06,-3.64,Buy Spread,-4.3,0.71,-5.97
HINDUNILVR,2020-05-05,2020-05-28,2020-06-25,2047.3,2040.95,-6.35,6.49,3.98,16.44,-3.46,Buy Spread,-6.35,-0.3799999999999999,-8.34
ITC,2020-05-05,2020-05-28,2020-06-25,171.1,169.75,-1.35,1.04,0.78,2.99,-0.91,Buy Spread,-1.35,-0.18000000000000016,-1.7400000000000002
HINDUNILVR,2020-05-04,2020-05-28,2020-06-25,2085.4,2080.95,-4.45,6.52,3.95,16.4,-3.36,Buy Spread,-4.45,1.4750000000000005,-6.425000000000001
ITC,2020-05-04,2020-05-28,2020-06-25,171.9,170.45,-1.45,1.04,0.78,2.99,-0.91,Buy Spread,-1.45,-0.28,-1.8399999999999999
JUBLFOOD,2020-05-04,2020-05-28,2020-06-25,1522.55,1479.95,-42.6,-0.74,13.95,34.14,-35.62,Buy Spread,-42.6,-21.675000000000004,-49.575
ITC,2020-04-29,2020-04-30,2020-05-28,182.35,179.5,-2.85,1.05,0.75,2.92,-0.82,Buy Spread,-2.85,-1.725,-3.225
KOTAKBANK,2020-04-29,2020-04-30,2020-05-28,1328.8,1324.3,-4.5,4.78,3.25,12.9,-3.34,Buy Spread,-4.5,0.375,-6.125
ITC,2020-04-28,2020-04-30,2020-05-28,179.8,178.35,-1.45,1.06,0.73,2.88,-0.76,Buy Spread,-1.45,-0.355,-1.815
KOTAKBANK,2020-04-28,2020-04-30,2020-05-28,1321.75,1313.5,-8.25,4.79,3.23,12.86,-3.28,Buy Spread,-8.25,-3.4050000000000002,-9.865
ITC,2020-04-27,2020-04-30,2020-05-28,180.15,179.4,-0.75,1.07,0.73,2.9,-0.75,Buy Spread,-0.75,0.345,-1.115
JUBLFOOD,2020-04-27,2020-04-30,2020-05-28,1490.2,1428.85,-61.35,-0.5,13.69,33.72,-34.72,Buy Spread,-61.35,-40.815,-68.19500000000001
KOTAKBANK,2020-04-27,2020-04-30,2020-05-28,1301.75,1297.3,-4.45,4.82,3.19,12.8,-3.15,Buy Spread,-4.45,0.33499999999999996,-6.045
MINDTREE,2020-04-27,2020-04-30,2020-05-28,873.05,832.85,-40.2,-1.11,10.17,24.32,-26.54,Buy Spread,-40.2,-24.945000000000004,-45.285000000000004
INDIGO,2020-04-24,2020-04-30,2020-05-28,892.8,874.2,-18.6,0.81,7.04,18.41,-16.79,Buy Spread,-18.6,-8.040000000000001,-22.12
JUBLFOOD,2020-04-24,2020-04-30,2020-05-28,1483.75,1429.0,-54.75,-0.39,13.45,33.24,-34.02,Buy Spread,-54.75,-34.575,-61.475
KOTAKBANK,2020-04-24,2020-04-30,2020-05-28,1236.9,1231.25,-5.65,4.83,3.16,12.73,-3.07,Buy Spread,-5.65,-0.9100000000000001,-7.23
MINDTREE,2020-04-24,2020-04-30,2020-05-28,761.25,726.85,-34.4,-1.04,10.04,24.06,-26.14,Buy Spread,-34.4,-19.34,-39.42
JUBLFOOD,2020-04-23,2020-04-30,2020-05-28,1495.8,1433.95,-61.85,-0.28,13.25,32.84,-33.4,Buy Spread,-61.85,-41.975,-68.475
KOTAKBANK,2020-04-23,2020-04-30,2020-05-28,1246.25,1240.2,-6.05,4.85,3.13,12.68,-2.97,Buy Spread,-6.05,-1.3549999999999995,-7.615
MINDTREE,2020-04-23,2020-04-30,2020-05-28,763.5,729.8,-33.7,-0.98,9.94,23.87,-25.83,Buy Spread,-33.7,-18.790000000000003,-38.67
ITC,2020-04-22,2020-04-30,2020-05-28,182.8,181.9,-0.9,1.07,0.72,2.87,-0.73,Buy Spread,-0.9,0.18000000000000005,-1.26
JUBLFOOD,2020-04-22,2020-04-30,2020-05-28,1509.55,1456.6,-52.95,-0.17,12.99,32.3,-32.65,Buy Spread,-52.95,-33.465,-59.445
KOTAKBANK,2020-04-22,2020-04-30,2020-05-28,1156.15,1152.4,-3.75,4.88,3.1,12.63,-2.87,Buy Spread,-3.75,0.9000000000000004,-5.3
MINDTREE,2020-04-22,2020-04-30,2020-05-28,727.05,694.1,-32.95,-0.92,9.85,23.7,-25.54,Buy Spread,-32.95,-18.175000000000004,-37.875
ITC,2020-04-21,2020-04-30,2020-05-28,179.55,178.7,-0.85,1.08,0.71,2.86,-0.69,Buy Spread,-0.85,0.21499999999999997,-1.205
JUBLFOOD,2020-04-21,2020-04-30,2020-05-28,1494.35,1439.35,-55.0,-0.07,12.8,31.93,-32.07,Buy Spread,-55.0,-35.8,-61.4
KOTAKBANK,2020-04-21,2020-04-30,2020-05-28,1129.1,1123.6,-5.5,4.89,3.08,12.59,-2.81,Buy Spread,-5.5,-0.8799999999999999,-7.04
MINDTREE,2020-04-21,2020-04-30,2020-05-28,708.35,670.45,-37.9,-0.86,9.76,23.54,-25.26,Buy Spread,-37.9,-23.259999999999998,-42.78
ITC,2020-04-20,2020-04-30,2020-05-28,180.75,179.6,-1.15,1.08,0.71,2.86,-0.69,Buy Spread,-1.15,-0.08499999999999996,-1.505
JUBLFOOD,2020-04-20,2020-04-30,2020-05-28,1501.0,1436.95,-64.05,0.03,12.59,31.51,-31.44,Buy Spread,-64.05,-45.165,-70.345
KOTAKBANK,2020-04-20,2020-04-30,2020-05-28,1176.9,1170.55,-6.35,4.91,3.05,12.54,-2.72,Buy Spread,-6.35,-1.7750000000000004,-7.875
MINDTREE,2020-04-20,2020-04-30,2020-05-28,746.1,710.4,-35.7,-0.79,9.63,23.29,-24.86,Buy Spread,-35.7,-21.255000000000003,-40.515
INDIGO,2020-04-17,2020-04-30,2020-05-28,1072.35,1053.15,-19.2,0.95,6.92,18.25,-16.35,Buy Spread,-19.2,-8.82,-22.66
ITC,2020-04-17,2020-04-30,2020-05-28,189.1,188.1,-1.0,1.09,0.7,2.84,-0.66,Buy Spread,-1.0,0.04999999999999982,-1.35
JUBLFOOD,2020-04-17,2020-04-30,2020-05-28,1527.9,1469.05,-58.85,0.15,12.29,30.87,-30.58,Buy Spread,-58.85,-40.415000000000006,-64.995
KOTAKBANK,2020-04-17,2020-04-30,2020-05-28,1192.95,1187.95,-5.0,4.93,3.01,12.45,-2.6,Buy Spread,-5.0,-0.4850000000000003,-6.505
MINDTREE,2020-04-17,2020-04-30,2020-05-28,739.9,705.75,-34.15,-0.72,9.52,23.08,-24.52,Buy Spread,-34.15,-19.869999999999997,-38.91
UBL,2020-04-17,2020-04-30,2020-05-28,936.4,918.4,-18.0,6.11,9.43,29.68,-17.46,Buy Spread,-18.0,-3.8550000000000004,-22.715
JUBLFOOD,2020-04-16,2020-04-30,2020-05-28,1441.6,1400.5,-41.1,0.27,12.03,30.34,-29.8,Buy Spread,-41.1,-23.055000000000003,-47.115
KOTAKBANK,2020-04-16,2020-04-30,2020-05-28,1136.25,1132.5,-3.75,4.95,2.99,12.42,-2.53,Buy Spread,-3.75,0.7350000000000003,-5.245
INDIGO,2020-04-15,2020-04-30,2020-05-28,1009.3,991.7,-17.6,1.02,6.85,18.14,-16.1,Buy Spread,-17.6,-7.325000000000003,-21.025000000000002
JUBLFOOD,2020-04-15,2020-04-30,2020-05-28,1394.2,1345.0,-49.2,0.34,11.9,30.09,-29.41,Buy Spread,-49.2,-31.35,-55.150000000000006
KOTAKBANK,2020-04-15,2020-04-30,2020-05-28,1167.95,1164.2,-3.75,4.97,2.96,12.37,-2.43,Buy Spread,-3.75,0.6899999999999995,-5.23
INDIGO,2020-04-13,2020-04-30,2020-05-28,1060.9,1042.3,-18.6,1.05,6.8,18.05,-15.95,Buy Spread,-18.6,-8.400000000000002,-22.0
JUBLFOOD,2020-04-13,2020-04-30,2020-05-28,1377.0,1325.0,-52.0,0.44,11.72,29.74,-28.86,Buy Spread,-52.0,-34.42,-57.86
KOTAKBANK,2020-04-13,2020-04-30,2020-05-28,1246.55,1241.85,-4.7,4.98,2.94,12.33,-2.37,Buy Spread,-4.7,-0.29000000000000004,-6.17
RBLBANK,2020-04-13,2020-04-30,2020-05-28,118.2,111.5,-6.7,0.32,2.67,7.0,-6.36,Buy Spread,-6.7,-2.6950000000000003,-8.035
ITC,2020-04-09,2020-04-30,2020-05-28,185.35,184.4,-0.95,1.1,0.69,2.82,-0.62,Buy Spread,-0.95,0.08499999999999996,-1.295
KOTAKBANK,2020-04-09,2020-04-30,2020-05-28,1258.55,1255.25,-3.3,5.0,2.92,12.3,-2.3,Buy Spread,-3.3,1.08,-4.76
RBLBANK,2020-04-09,2020-04-30,2020-05-28,121.35,114.9,-6.45,0.33,2.65,6.96,-6.3,Buy Spread,-6.45,-2.4750000000000005,-7.775
ULTRACEMCO,2020-04-09,2020-04-30,2020-05-28,3363.05,3355.0,-8.05,16.88,7.71,36.16,-2.39,Buy Spread,-8.05,3.514999999999999,-11.905000000000001
INDIGO,2020-04-08,2020-04-30,2020-05-28,990.85,970.05,-20.8,1.12,6.73,17.95,-15.71,Buy Spread,-20.8,-10.705,-24.165
ITC,2020-04-08,2020-04-30,2020-05-28,179.0,178.25,-0.75,1.1,0.69,2.82,-0.62,Buy Spread,-0.75,0.2849999999999999,-1.095
RBLBANK,2020-04-08,2020-04-30,2020-05-28,121.1,113.7,-7.4,0.35,2.64,6.95,-6.25,Buy Spread,-7.4,-3.4400000000000004,-8.72
HINDALCO,2020-04-07,2020-04-30,2020-05-28,103.55,103.35,-0.2,0.9,0.4,1.9,-0.1,Buy Spread,-0.2,0.4000000000000001,-0.4
INDIGO,2020-04-07,2020-04-30,2020-05-28,986.1,964.55,-21.55,1.16,6.67,17.84,-15.52,Buy Spread,-21.55,-11.545000000000002,-24.885
ITC,2020-04-07,2020-04-30,2020-05-28,182.95,181.4,-1.55,1.1,0.68,2.8,-0.6,Buy Spread,-1.55,-0.53,-1.8900000000000001
JUBLFOOD,2020-04-07,2020-04-30,2020-05-28,1394.05,1347.0,-47.05,0.62,11.45,29.24,-28.0,Buy Spread,-47.05,-29.875,-52.775
KOTAKBANK,2020-04-07,2020-04-30,2020-05-28,1206.5,1203.9,-2.6,5.03,2.89,12.26,-2.2,Buy Spread,-2.6,1.7349999999999999,-4.045
RBLBANK,2020-04-07,2020-04-30,2020-05-28,116.8,109.75,-7.05,0.36,2.62,6.91,-6.19,Buy Spread,-7.05,-3.1199999999999997,-8.36
AXISBANK,2020-04-03,2020-04-30,2020-05-28,327.05,327.6,0.55,3.02,0.97,5.44,0.6,Buy Spread,0.55,2.005,0.06500000000000006
INDIGO,2020-04-03,2020-04-30,2020-05-28,940.95,921.3,-19.65,1.2,6.6,17.7,-15.3,Buy Spread,-19.65,-9.75,-22.95
ITC,2020-04-03,2020-04-30,2020-05-28,177.8,176.2,-1.6,1.11,0.67,2.78,-0.56,Buy Spread,-1.6,-0.595,-1.935
KOTAKBANK,2020-04-03,2020-04-30,2020-05-28,1144.15,1141.85,-2.3,5.04,2.87,12.22,-2.14,Buy Spread,-2.3,2.005,-3.735
TVSMOTOR,2020-04-03,2020-04-30,2020-05-28,252.7,446.0,193.3,-3.07,12.28,27.63,-33.77,Sell Spread,193.3,174.88000000000002,199.44
AXISBANK,2020-04-01,2020-04-30,2020-05-28,358.95,359.5,0.55,3.03,0.97,5.46,0.6,Buy Spread,0.55,2.005,0.06500000000000006
INDIGO,2020-04-01,2020-04-30,2020-05-28,999.35,982.7,-16.65,1.24,6.55,17.61,-15.14,Buy Spread,-16.65,-6.824999999999999,-19.924999999999997
KOTAKBANK,2020-04-01,2020-04-30,2020-05-28,1172.75,1168.45,-4.3,5.06,2.85,12.18,-2.07,Buy Spread,-4.3,-0.024999999999999467,-5.725
MINDTREE,2020-04-01,2020-04-30,2020-05-28,738.75,712.35,-26.4,-0.55,9.36,22.85,-23.95,Buy Spread,-26.4,-12.36,-31.08
RBLBANK,2020-04-01,2020-04-30,2020-05-28,131.45,124.3,-7.15,0.39,2.59,6.86,-6.08,Buy Spread,-7.15,-3.2650000000000006,-8.445
TVSMOTOR,2020-04-01,2020-04-30,2020-05-28,274.65,446.0,171.35,-3.45,8.77,18.47,-25.37,Sell Spread,171.35,158.195,175.73499999999999
BHARTIARTL,2020-03-25,2020-03-26,2020-04-30,429.8,434.9,5.1,1.52,0.89,3.74,-0.7,Sell Spread,5.1,3.7649999999999997,5.545
HDFCBANK,2020-03-25,2020-03-26,2020-04-30,863.85,851.9,-11.95,5.46,4.31,16.24,-5.31,Buy Spread,-11.95,-5.484999999999999,-14.104999999999999
HINDUNILVR,2020-03-25,2020-03-26,2020-04-30,2095.4,2113.45,18.05,6.46,3.94,16.31,-3.39,Sell Spread,18.05,12.14,20.02
INDIGO,2020-03-25,2020-03-26,2020-04-30,1015.85,993.0,-22.85,1.32,6.44,17.42,-14.78,Buy Spread,-22.85,-13.190000000000001,-26.07
JUBLFOOD,2020-03-25,2020-03-26,2020-04-30,1356.1,1288.7,-67.4,0.81,10.91,28.08,-26.46,Buy Spread,-67.4,-51.035000000000004,-72.855
KOTAKBANK,2020-03-25,2020-03-26,2020-04-30,1288.95,1277.75,-11.2,5.14,2.43,11.22,-0.94,Buy Spread,-11.2,-7.554999999999999,-12.415
MINDTREE,2020-03-25,2020-03-26,2020-04-30,834.6,744.25,-90.35,-0.37,8.82,21.68,-22.42,Buy Spread,-90.35,-77.11999999999999,-94.75999999999999
RBLBANK,2020-03-25,2020-03-26,2020-04-30,162.95,131.65,-31.3,0.42,2.53,6.74,-5.9,Buy Spread,-31.3,-27.505000000000003,-32.565
TVSMOTOR,2020-03-25,2020-03-26,2020-04-30,337.1,304.15,-32.95,-3.78,4.27,6.9,-14.45,Buy Spread,-32.95,-26.545,-35.085
UBL,2020-03-25,2020-03-26,2020-04-30,876.2,841.5,-34.7,6.36,9.25,29.48,-16.76,Buy Spread,-34.7,-20.825000000000003,-39.325
BANKBARODA,2020-03-24,2020-03-26,2020-04-30,55.4,55.35,-0.05,0.58,0.23,1.16,0.0,Buy Spread,-0.05,0.29500000000000004,-0.165
HDFCBANK,2020-03-24,2020-03-26,2020-04-30,768.2,759.65,-8.55,5.49,4.24,16.09,-5.11,Buy Spread,-8.55,-2.1900000000000004,-10.670000000000002
INDIGO,2020-03-24,2020-03-26,2020-04-30,912.65,894.25,-18.4,1.37,6.36,17.27,-14.53,Buy Spread,-18.4,-8.859999999999998,-21.58
JUBLFOOD,2020-03-24,2020-03-26,2020-04-30,1300.75,1179.1,-121.65,0.94,10.51,27.22,-25.33,Buy Spread,-121.65,-105.885,-126.905
KOTAKBANK,2020-03-24,2020-03-26,2020-04-30,1148.2,1144.25,-3.95,5.17,2.32,10.97,-0.63,Buy Spread,-3.95,-0.47000000000000064,-5.11
MINDTREE,2020-03-24,2020-03-26,2020-04-30,769.75,734.1,-35.65,-0.19,7.89,19.53,-19.92,Buy Spread,-35.65,-23.814999999999998,-39.595
PNB,2020-03-24,2020-03-26,2020-04-30,36.25,37.45,1.2,0.39,0.32,1.19,-0.41,Sell Spread,1.2,0.72,1.3599999999999999
RBLBANK,2020-03-24,2020-03-26,2020-04-30,154.65,138.05,-16.6,0.48,2.11,5.75,-4.8,Buy Spread,-16.6,-13.435000000000002,-17.655
TATAMOTORS,2020-03-24,2020-03-26,2020-04-30,68.95,68.5,-0.45,1.09,0.53,2.42,-0.24,Buy Spread,-0.45,0.34500000000000003,-0.7150000000000001
TVSMOTOR,2020-03-24,2020-03-26,2020-04-30,339.55,302.9,-36.65,-3.72,4.07,6.46,-13.9,Buy Spread,-36.65,-30.544999999999998,-38.685
BANKBARODA,2020-03-23,2020-03-26,2020-04-30,53.95,53.9,-0.05,0.58,0.23,1.16,0.0,Buy Spread,-0.05,0.29500000000000004,-0.165
INDIGO,2020-03-23,2020-03-26,2020-04-30,857.75,842.8,-14.95,1.4,6.31,17.17,-14.37,Buy Spread,-14.95,-5.484999999999999,-18.105
JUBLFOOD,2020-03-23,2020-03-26,2020-04-30,1265.15,1178.9,-86.25,1.18,9.03,23.76,-21.4,Buy Spread,-86.25,-72.705,-90.765
KOTAKBANK,2020-03-23,2020-03-26,2020-04-30,1090.2,1087.95,-2.25,5.19,2.29,10.92,-0.53,Buy Spread,-2.25,1.185,-3.395
MINDTREE,2020-03-23,2020-03-26,2020-04-30,728.9,691.5,-37.4,-0.13,7.74,19.22,-19.48,Buy Spread,-37.4,-25.79,-41.269999999999996
RBLBANK,2020-03-23,2020-03-26,2020-04-30,141.55,128.25,-13.3,0.52,1.97,5.44,-4.4,Buy Spread,-13.3,-10.345,-14.285
TVSMOTOR,2020-03-23,2020-03-26,2020-04-30,324.35,309.35,-15.0,-3.66,3.81,5.86,-13.18,Buy Spread,-15.0,-9.285,-16.905
BANKBARODA,2020-03-20,2020-03-26,2020-04-30,63.5,63.25,-0.25,0.58,0.23,1.16,0.0,Buy Spread,-0.25,0.09500000000000003,-0.365
JUBLFOOD,2020-03-20,2020-03-26,2020-04-30,1286.35,1251.4,-34.95,1.35,8.17,21.78,-19.08,Buy Spread,-34.95,-22.695000000000004,-39.035000000000004
MINDTREE,2020-03-20,2020-03-26,2020-04-30,811.9,783.5,-28.4,-0.05,7.57,18.88,-18.98,Buy Spread,-28.4,-17.044999999999998,-32.185
RBLBANK,2020-03-20,2020-03-26,2020-04-30,170.8,165.4,-5.4,0.54,1.88,5.24,-4.16,Buy Spread,-5.4,-2.5800000000000005,-6.34
AXISBANK,2020-03-19,2020-03-26,2020-04-30,427.8,428.35,0.55,3.04,0.96,5.44,0.64,Buy Spread,0.55,1.99,0.07000000000000006
BANKBARODA,2020-03-19,2020-03-26,2020-04-30,61.65,61.25,-0.4,0.58,0.23,1.16,0.0,Buy Spread,-0.4,-0.05499999999999999,-0.515
ICICIBANK,2020-03-19,2020-03-26,2020-04-30,337.45,336.9,-0.55,1.54,0.76,3.44,-0.36,Buy Spread,-0.55,0.5900000000000001,-0.93
JUBLFOOD,2020-03-19,2020-03-26,2020-04-30,1176.1,1151.75,-24.35,1.42,8.02,21.47,-18.63,Buy Spread,-24.35,-12.320000000000002,-28.36
KOTAKBANK,2020-03-19,2020-03-26,2020-04-30,1201.25,1198.8,-2.45,5.21,2.26,10.86,-0.44,Buy Spread,-2.45,0.9399999999999995,-3.58
RBLBANK,2020-03-19,2020-03-26,2020-04-30,174.35,168.6,-5.75,0.56,1.86,5.21,-4.09,Buy Spread,-5.75,-2.96,-6.68
RELIANCE,2020-03-19,2020-03-26,2020-04-30,917.3,917.55,0.25,5.26,1.87,9.94,0.58,Buy Spread,0.25,3.055,-0.685
SBIN,2020-03-19,2020-03-26,2020-04-30,203.3,203.6,0.3,1.34,0.41,2.37,0.32,Buy Spread,0.3,0.915,0.095
AXISBANK,2020-03-18,2020-03-26,2020-04-30,474.25,480.1,5.85,3.05,0.95,5.42,0.67,Sell Spread,5.85,4.425,6.324999999999999
BANKBARODA,2020-03-18,2020-03-26,2020-04-30,63.35,62.6,-0.75,0.58,0.22,1.13,0.03,Buy Spread,-0.75,-0.42,-0.86
INDIGO,2020-03-18,2020-03-26,2020-04-30,952.3,926.4,-25.9,1.49,6.21,17.02,-14.04,Buy Spread,-25.9,-16.585,-29.005
JUBLFOOD,2020-03-18,2020-03-26,2020-04-30,1239.4,1204.0,-35.4,1.47,7.95,21.34,-18.4,Buy Spread,-35.4,-23.474999999999998,-39.375
KOTAKBANK,2020-03-18,2020-03-26,2020-04-30,1174.15,1171.85,-2.3,5.23,2.24,10.83,-0.37,Buy Spread,-2.3,1.0600000000000005,-3.42
LUPIN,2020-03-18,2020-03-26,2020-04-30,614.55,612.05,-2.5,3.29,1.75,7.66,-1.08,Buy Spread,-2.5,0.125,-3.375
MINDTREE,2020-03-18,2020-03-26,2020-04-30,746.7,714.7,-32.0,0.03,7.44,18.63,-18.57,Buy Spread,-32.0,-20.84,-35.72
RBLBANK,2020-03-18,2020-03-26,2020-04-30,161.85,156.2,-5.65,0.57,1.84,5.17,-4.03,Buy Spread,-5.65,-2.89,-6.57
SBIN,2020-03-18,2020-03-26,2020-04-30,213.6,213.7,0.1,1.34,0.41,2.37,0.32,Buy Spread,0.1,0.715,-0.10499999999999998
SUNPHARMA,2020-03-18,2020-03-26,2020-04-30,362.65,362.6,-0.05,2.23,0.82,4.28,0.18,Buy Spread,-0.05,1.18,-0.45999999999999996
BANKBARODA,2020-03-17,2020-03-26,2020-04-30,62.85,62.45,-0.4,0.58,0.21,1.1,0.05,Buy Spread,-0.4,-0.08500000000000002,-0.505
INDIGO,2020-03-17,2020-03-26,2020-04-30,966.65,939.85,-26.8,1.55,6.1,16.8,-13.7,Buy Spread,-26.8,-17.650000000000002,-29.85
JUBLFOOD,2020-03-17,2020-03-26,2020-04-30,1259.55,1231.9,-27.65,1.54,7.79,21.02,-17.94,Buy Spread,-27.65,-15.964999999999998,-31.544999999999998
MINDTREE,2020-03-17,2020-03-26,2020-04-30,767.1,737.75,-29.35,0.1,7.31,18.38,-18.17,Buy Spread,-29.35,-18.385,-33.005
INDIGO,2020-03-16,2020-03-26,2020-04-30,959.3,939.15,-20.15,1.6,5.98,16.55,-13.35,Buy Spread,-20.15,-11.179999999999998,-23.14
JUBLFOOD,2020-03-16,2020-03-26,2020-04-30,1361.5,1338.1,-23.4,1.59,7.69,20.82,-17.64,Buy Spread,-23.4,-11.864999999999998,-27.244999999999997
MINDTREE,2020-03-16,2020-03-26,2020-04-30,773.3,755.05,-18.25,0.15,7.2,18.15,-17.85,Buy Spread,-18.25,-7.449999999999999,-21.85
ULTRACEMCO,2020-03-16,2020-03-26,2020-04-30,3498.35,3490.2,-8.15,16.87,7.56,35.77,-2.03,Buy Spread,-8.15,3.1899999999999995,-11.93
AXISBANK,2020-03-13,2020-03-26,2020-04-30,567.25,574.25,7.0,3.05,0.94,5.4,0.7,Sell Spread,7.0,5.59,7.47
INDIGO,2020-03-12,2020-03-26,2020-04-30,1004.2,988.9,-15.3,1.67,5.88,16.37,-13.03,Buy Spread,-15.3,-6.48,-18.240000000000002
KOTAKBANK,2020-03-12,2020-03-26,2020-04-30,1460.1,1472.75,12.65,5.23,2.21,10.76,-0.29,Sell Spread,12.65,9.335,13.755
ULTRACEMCO,2020-03-11,2020-03-26,2020-04-30,4002.75,4055.0,52.25,16.91,7.5,35.66,-1.84,Sell Spread,52.25,41.0,56.0
UBL,2020-03-05,2020-03-26,2020-04-30,1246.9,1230.65,-16.25,6.58,9.06,29.23,-16.07,Buy Spread,-16.25,-2.66,-20.78
BAJFINANCE,2020-03-03,2020-03-26,2020-04-30,4457.25,4484.1,26.85,13.21,4.72,25.01,1.41,Sell Spread,26.85,19.770000000000003,29.21
TVSMOTOR,2020-03-03,2020-03-26,2020-04-30,420.45,400.85,-19.6,-3.55,3.76,5.85,-12.95,Buy Spread,-19.6,-13.96,-21.48
ULTRACEMCO,2020-03-03,2020-03-26,2020-04-30,4299.25,4339.3,40.05,16.83,7.36,35.23,-1.57,Sell Spread,40.05,29.009999999999998,43.73
BAJAJ-AUTO,2020-02-26,2020-02-27,2020-03-26,2941.4,2834.65,-106.75,4.86,20.22,55.41,-45.69,Buy Spread,-106.75,-76.42,-116.86
LUPIN,2020-02-26,2020-02-27,2020-03-26,668.9,666.75,-2.15,3.31,1.75,7.68,-1.06,Buy Spread,-2.15,0.4750000000000001,-3.025
TCS,2020-02-26,2020-02-27,2020-03-26,2122.85,2112.35,-10.5,6.72,5.5,20.47,-7.03,Buy Spread,-10.5,-2.25,-13.25
VEDL,2020-02-26,2020-02-27,2020-03-26,130.3,128.25,-2.05,0.77,0.57,2.19,-0.65,Buy Spread,-2.05,-1.1949999999999998,-2.335
BAJAJ-AUTO,2020-02-25,2020-02-27,2020-03-26,2955.9,2848.4,-107.5,5.09,19.61,54.11,-43.94,Buy Spread,-107.5,-78.08500000000001,-117.305
TCS,2020-02-25,2020-02-27,2020-03-26,2157.75,2147.35,-10.4,6.76,5.45,20.38,-6.86,Buy Spread,-10.4,-2.2249999999999996,-13.125
